id,campaign_id,source_asset_id,channel_key,platforms,ratio,width,height,sha256,headline,gate,guardian,score30,output_path,source_method,rights_status,approval_gate,created_at
"arc-social-031-luminor-rank-proof-square-1x1","arc-social-031-luminor-rank-proof","arc-visual-031","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","20af5d2bc0bb6cd6056e103f25551d5ca668a82a0671bdc3b54cbc06c3aec204","Luminor Is Earned","Source","Shinkami","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-031-luminor-rank-proof-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-031-luminor-rank-proof-wide-16x9","arc-social-031-luminor-rank-proof","arc-visual-031","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","d147ab46737dd98ff40a0c7ed493f8c018dcba68f7d36d88acc1af28de4ac30b","Luminor Is Earned","Source","Shinkami","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-031-luminor-rank-proof-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-035-music-proof-stage-instagram-feed-4x5","arc-social-035-music-proof-stage","arc-visual-035","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","114a27e37fbda98e741d89e035f61738874a422fb66000438d70fa55d62eb88d","Turn Performance Into Proof","Voice","Alera","27","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-035-music-proof-stage-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-035-music-proof-stage-vertical-9x16","arc-social-035-music-proof-stage","arc-visual-035","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","53c92f372086f56b6ce4203cdc051af616e8dcad26b7dd9a6e195cbbfa41b107","Turn Performance Into Proof","Voice","Alera","27","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-035-music-proof-stage-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-035-music-proof-stage-square-1x1","arc-social-035-music-proof-stage","arc-visual-035","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","74da98e63b581bf173b8286b0d011f5d6233396ddbeed8136ab9c9393f7cda69","Turn Performance Into Proof","Voice","Alera","27","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-035-music-proof-stage-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-035-music-proof-stage-wide-16x9","arc-social-035-music-proof-stage","arc-visual-035","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","87ceb1e1989fb961c8aca6d4c82191a38400d4ef3c9715a4fbe66e6210428e2c","Turn Performance Into Proof","Voice","Alera","27","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-035-music-proof-stage-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-040-unity-cooperation-lattice-instagram-feed-4x5","arc-social-040-unity-cooperation-lattice","arc-visual-040","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","e48fcead6ae5eec9515a1836c195a670413c3c694fc111de4e8c990a21d2eb01","Proof Needs People","Unity","Ino","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-040-unity-cooperation-lattice-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-040-unity-cooperation-lattice-vertical-9x16","arc-social-040-unity-cooperation-lattice","arc-visual-040","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","76d114737711dff306c4eecbc15d8068ed7f26203ae7369950e936c46cd7b842","Proof Needs People","Unity","Ino","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-040-unity-cooperation-lattice-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-040-unity-cooperation-lattice-square-1x1","arc-social-040-unity-cooperation-lattice","arc-visual-040","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","becfd8b7806a92bddd97bcc260526913ec9956b7a838be02cfddc40cb4dfceb1","Proof Needs People","Unity","Ino","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-040-unity-cooperation-lattice-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-040-unity-cooperation-lattice-wide-16x9","arc-social-040-unity-cooperation-lattice","arc-visual-040","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","baa52576c427591bb83bc2400a45b5facc6d78d72cbd1858080d97190f76db70","Proof Needs People","Unity","Ino","29","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-040-unity-cooperation-lattice-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-041-webtoon-gate-choice-instagram-feed-4x5","arc-social-041-webtoon-gate-choice","arc-visual-041","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","64b3a877808622cbdf9bb0d33e1899a677eefe0483c392dc43718c2c7c5515a2","Hold The Gate Open","Foundation","Lyssandria","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-041-webtoon-gate-choice-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-041-webtoon-gate-choice-vertical-9x16","arc-social-041-webtoon-gate-choice","arc-visual-041","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","8c01c2119b0266a04471ec638024dd316839f18dfab8fcfa6093c74ef8200f5b","Hold The Gate Open","Foundation","Lyssandria","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-041-webtoon-gate-choice-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-041-webtoon-gate-choice-square-1x1","arc-social-041-webtoon-gate-choice","arc-visual-041","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","3cc6de482400054b3ed5c2d20cecaeaba6acb705da092a40d39343b808e0a8a5","Hold The Gate Open","Foundation","Lyssandria","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-041-webtoon-gate-choice-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-041-webtoon-gate-choice-wide-16x9","arc-social-041-webtoon-gate-choice","arc-visual-041","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","a384341c4a6d029294df9fbd09a13257a01d37686d95d5ca029ac902aae74e6d","Hold The Gate Open","Foundation","Lyssandria","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-041-webtoon-gate-choice-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-042-music-resonance-proof-instagram-feed-4x5","arc-social-042-music-resonance-proof","arc-visual-042","instagram-feed-4x5","Instagram Feed|Instagram Carousel","4:5","1080","1350","f5a73f026f51c3c264238dc479eabd791a388df5cb5df80d347e792cac132d8e","The Song Leaves Proof","Voice","Alera","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\instagram-feed-4x5\arc-social-042-music-resonance-proof-instagram-feed-4x5.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-042-music-resonance-proof-vertical-9x16","arc-social-042-music-resonance-proof","arc-visual-042","vertical-9x16","TikTok|Instagram Reels|Instagram Stories|YouTube Shorts","9:16","1080","1920","a6fb1e7d4a10fa60385b8bc268969ee2dc4824894b714e01db32641018bbf217","The Song Leaves Proof","Voice","Alera","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\vertical-9x16\arc-social-042-music-resonance-proof-vertical-9x16.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-042-music-resonance-proof-square-1x1","arc-social-042-music-resonance-proof","arc-visual-042","square-1x1","X|Instagram Feed|Threads|Bluesky","1:1","1200","1200","5ec511114d420fbf88b9e33a0cfadae503e2ecaf56781618a72a27c0a59a6e86","The Song Leaves Proof","Voice","Alera","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\square-1x1\arc-social-042-music-resonance-proof-square-1x1.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
"arc-social-042-music-resonance-proof-wide-16x9","arc-social-042-music-resonance-proof","arc-visual-042","wide-16x9","YouTube Thumbnail|X Link Visual|Article Header","16:9","1280","720","a06798b91fdefc400cd69381edc3ec1ece0d37ff1943d89eba54ecc455f8b26f","The Song Leaves Proof","Voice","Alera","28","C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\social-overlays\exports\wide-16x9\arc-social-042-music-resonance-proof-wide-16x9.png","code-rendered deterministic overlays on inspected generated media","generated-owned-derived","social-approvals","2026-07-06T07:49:20+02:00"
