id,ts,run,batch,engine,harness,model,request_id,prompt_file,asset_path,use_case,world,characters,canon_refs,aspect_ratio,channel_targets,rights_status,gate_30_score,gate_verdict,ship_status,failure_modes,next_improvement
arc-visual-004c,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-004c,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-004c-lyssandria-kaelith-gravity-foundation.png,character-portal-4x5,guardian-godbeast,Lyssandria,CANON_LOCKED.md Ten Gates|Lyssandria|Kaelith|Foundation Gate,4:5,character-portal-4x5,generated-owned,27,approve-with-style-caution,iterate,Lyssandria still reads as ornate fantasy regalia|Kaelith is finally de-dragoned but needs more sacred-engineering restraint,Create a more product-world portal version with Lyssandria as architect-operator and Kaelith as terrain-scale gravity infrastructure.
arc-visual-008b,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-008b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-008b-alera-otome-clean-resonance.png,square-gallery-1x1,guardian-godbeast,Alera,CANON_LOCKED.md Ten Gates|Alera|Otome|Voice Gate,1:1,square-gallery-1x1,generated-owned,24,iterate,iterate,Otome reads dragon-adjacent instead of a distinct Voice Gate Godbeast|Alera styling remains ornate fantasy portrait language,"Regenerate Otome as resonance architecture or vocal-lattice creature, less dragon, less gown, more Arcanea AI-lab truth instrument."
arc-visual-009b,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-009b,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-009b-lyria-yumiko-prism-observatory.png,vertical-social-9x16,guardian-godbeast,Lyria,CANON_LOCKED.md Ten Gates|Lyria|Yumiko|Sight Gate,9:16,vertical-social-9x16,generated-owned,25,iterate,iterate,Yumiko reads as a prismatic fox or wolf silhouette rather than a canon-specific Sight Gate Godbeast|Character portrait is still too generic prestige fantasy/anime,"Regenerate Yumiko as lens-field guardian woven into observatory optics, with less animal portrait and more perception infrastructure."
arc-visual-020c,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-020c,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-020c-webtoon-first-trial-three-beats.png,webtoon-vertical-9x16,webtoon,Alera,Arcanea chosen responsibility|Genesis proof loop|The Drift,9:16,webtoon-vertical-9x16,generated-owned,28,approve,iterate,Single character variant; needs diversity and continuity expansion|Panel separators need crop/layout proof before publishing,Create four continuation beats and deterministic captions outside the image in code/design tooling.
arc-visual-025,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-025,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-025-world-tower-social-crop.png,instagram-tiktok-4x5,mega-scale-world,Maylinn,Arcanea visual doctrine|Scale worlds|Living habitats,4:5,instagram-tiktok-4x5,generated-owned,29,approve,iterate,Bright left negative space needs contrast test for overlay text|Dragon habitat remains intentionally dragon-forward and should not define every Arcanea world asset,Use for 4:5 social crop overlay tests; create alternate non-dragon habitat variant for broader world identity.
arc-visual-027,2026-07-06T03:18:30+02:00,run-2026-07-06-god-mode,b2,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b2.json#arc-visual-027,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-027-music-portal-bloom-clean.png,album-social-1x1,music,Alera,Arcanea music lane|portal bloom|Alera Voice Gate,1:1,album-social-1x1,generated-owned,29,approve,iterate,Object-only album source needs deterministic typography and motion/audio variant|Needs small-thumbnail contrast test,Build exact album/social overlay mockups and a short motion loop from the central portal bloom.
arc-visual-008c,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-008c,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-008c-alera-otome-resonance-lattice.png,square-gallery-1x1,guardian-godbeast,Alera,CANON_LOCKED.md Ten Gates|Alera|Otome|Voice Gate,1:1,square-gallery-1x1,generated-owned,26,approve-with-style-caution,iterate,"Alera still reads as ornate fantasy gown more than Arcanea operator|Strong Otome-as-resonance-infrastructure solution, but needs simpler lab/product wardrobe before public hero use",Regenerate with Alera as restrained Voice Gate operator in contemporary myth-tech studio clothing while keeping Otome as architectural vocal lattice.
arc-visual-009c,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-009c,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-009c-lyria-yumiko-lens-field.png,vertical-social-9x16,guardian-godbeast,Lyria,CANON_LOCKED.md Ten Gates|Lyria|Yumiko|Sight Gate,9:16,vertical-social-9x16,generated-owned,24,iterate,iterate,Yumiko became a giant ethereal humanoid figure instead of lens-field perception infrastructure|The image is beautiful but too close to generic prestige goddess/anime portrait language for canon-forward promotion,"Force Yumiko to be non-humanoid optics infrastructure: lens reefs, mirror weather, perception field, and no face/body silhouette."
arc-visual-028,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-028,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-028-heart-realm-living-ark-non-dragon.png,instagram-tiktok-4x5,mega-scale-world,Maylinn,Arcanea visual doctrine|Heart Gate|non-dragon scale world,4:5,instagram-tiktok-4x5,generated-owned,29,approve,iterate,Tiny human scale figures are present but need thumbnail crop check|Very high fantasy scale requires deterministic captioning to connect it back to Arcanea creator proof flows,Promote to gallery and test 4:5 social overlay/crop with proof-world hook copy outside the image.
arc-visual-029,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-029,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-029-webtoon-trial-four-beats-diverse.png,webtoon-vertical-9x16,webtoon,Alera,Arcanea chosen responsibility|Genesis proof loop|The Drift,9:16,webtoon-vertical-9x16,generated-owned,28,approve,iterate,"Cinematic realism is stronger than webtoon linework, so it should be treated as premium storyboard/source art|Needs deterministic panel captions outside the image for platform publishing",Promote to gallery as storyboard/Webtoon proof source and build a coded caption/sequence treatment later.
arc-visual-030,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-030,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-030-storybook-first-proof-living-library.png,storybook-cover-source-4x5,storybook-book,Shinkami,Arcanea books|Genesis proof loop|living lore,4:5,storybook-cover-source-4x5,generated-owned,28,approve,iterate,"Mentor clothing leans high fantasy, but the living-library/proof-artifact read is strong|Needs deterministic title treatment outside the image before book-cover use",Promote to gallery/book lane and create a cover overlay proof with exact typography in code or design tooling.
arc-visual-031,2026-07-06T04:43:20+02:00,run-2026-07-06-god-mode,b3,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b3.json#arc-visual-031,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-031-luminor-rank-proof-atlas.png,x-youtube-og-16x9,luminor-artifact,Shinkami,CANON_LOCKED.md Magic Ranks|Luminor is a rank|Ten Gates,16:9,x-youtube-og-16x9,generated-owned,28,approve,iterate,Portal ring can feel infographic-adjacent if overused|Needs accompanying copy to make Luminor-as-rank explicit because the image must remain text-free,Promote to gallery/article lane and use deterministic overlay/body copy to explain that Luminor is an earned mastery rank.
arc-visual-008d,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-008d,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-008d-alera-otome-operator-resonance-console.png,character-portal-4x5,guardian-godbeast,Alera,CANON_LOCKED.md Ten Gates|Alera|Otome|Voice Gate,4:5,character-portal-4x5,generated-owned,28,approve,iterate,"Alera still has beauty-portrait polish, but wardrobe and posture are much closer to Arcanea operator language|Otome reads as resonance infrastructure rather than dragon or animal",Promote as Voice Gate operator correction; later create an even more contemporary studio wardrobe variant.
arc-visual-009d,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-009d,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-009d-lyria-yumiko-nonhumanoid-perception-field.png,vertical-social-9x16,guardian-godbeast,Lyria,CANON_LOCKED.md Ten Gates|Lyria|Yumiko|Sight Gate,9:16,vertical-social-9x16,generated-owned,27,approve-with-style-caution,iterate,"Lyria wardrobe still leans elegant fantasy, but Yumiko is now non-humanoid field architecture|Very bright lens texture needs thumbnail contrast check",Promote as corrected Sight Gate field image; create a calmer high-contrast variant for small thumbnails.
arc-visual-032,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-032,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-032-flow-gate-veloura-aquifer-corridor.png,instagram-tiktok-4x5,mega-scale-world,Leyla,CANON_LOCKED.md Ten Gates|Leyla|Veloura|Flow Gate|Mar Arcano corridors,4:5,instagram-tiktok-4x5,generated-owned,28,approve-with-canon-caution,iterate,"Veloura gains a creature-head silhouette rather than pure water-metal membrane|World image is strong, but not final canon design proof for Veloura","Promote as Flow Gate world image, not final Godbeast sheet; next pass should make Veloura more membrane/weather infrastructure."
arc-visual-033,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-033,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-033-fire-gate-draconis-healthy-forge-titan.png,instagram-tiktok-4x5,mega-scale-world,Draconia,CANON_LOCKED.md Ten Gates|Draconia|Draconis|Fire Gate,4:5,instagram-tiktok-4x5,generated-owned,29,approve,iterate,"Fire palette is intense and needs overlay contrast testing|Draconis is dragon-coded by canon, so balance gallery with non-dragon world assets",Promote as Fire Gate social hook and test 4:5 overlay copy for constructive power rather than battle fantasy.
arc-visual-034,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-034,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-034-crown-gate-sol-solar-canopy-library.png,x-youtube-og-16x9,storybook-book,Aiyami,CANON_LOCKED.md Ten Gates|Aiyami|Sol|Crown Gate,16:9,x-youtube-og-16x9,generated-owned,28,approve,iterate,Aiyami still reads as a pale scholar archetype; future variants should broaden identity and wardrobe|16:9 crop is strong but needs mobile crop derivative before social use,Promote as Crown Gate editorial/story source and build deterministic article/YouTube overlay later.
arc-visual-035,2026-07-06T05:20:30+02:00,run-2026-07-06-god-mode,b4,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b4.json#arc-visual-035,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-035-arcanea-music-proof-stage-no-text.png,vertical-social-9x16,music,Alera,Arcanea music lane|Voice Gate|creator proof performance,9:16,vertical-social-9x16,generated-owned,27,approve,iterate,Darker upper field is excellent for overlays but needs phone brightness test|Musician-console hand details should not be used as a close crop,Promote as music/social proof-stage source; pair with deterministic hook text and audio/motion pass.
arc-visual-036,2026-07-06T06:31:00+02:00,run-2026-07-06-god-mode,b5,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b5.json#arc-visual-036,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-036-flow-gate-veloura-membrane-corridor.png,canon-correction-vertical-social-gallery,main-storyline,Leyla,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Flow Gate Veloura Membrane Corridor,9:16,vertical-social-9x16,generated-owned,29,approve,iterate,Very strong corridor correction; no creature-head silhouette. Needs phone crop/brightness test before lead social use.,Promote as the preferred Veloura correction source and test deterministic vertical overlay.
arc-visual-037,2026-07-06T06:31:00+02:00,run-2026-07-06-god-mode,b5,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b5.json#arc-visual-037,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-037-starweave-vaelith-perspective-loom.png,starweave-expansion-social-editorial-gallery,main-storyline,Elara,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Starweave Gate Vaelith Perspective Loom,4:5,social-editorial-4x5,generated-owned,28,approve,iterate,Excellent perspective loom and world-scale read; ornate lattice may need a calmer crop for small thumbnails.,Crop-test for 4:5 and wide editorial; build deterministic copy around perspective practice.
arc-visual-038,2026-07-06T06:31:00+02:00,run-2026-07-06-god-mode,b5,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b5.json#arc-visual-038,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-038-unity-kyuro-partnership-sanctuary.png,unity-expansion-story-social-reference,main-storyline,Ino,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Unity Gate Kyuro Partnership Sanctuary,16:9,editorial-16x9,generated-owned,27,approve-with-crop-check,iterate,"Beautiful and readable partnership sanctuary, but symmetry risks feeling too polished/iconic instead of surprising next to social feeds.",Use as Unity reference/candidate; next pass should add a stronger human action hook and less mirror symmetry.
arc-visual-039,2026-07-06T06:31:00+02:00,run-2026-07-06-god-mode,b5,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b5.json#arc-visual-039,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-039-source-gate-shinkami-meta-consciousness-atlas.png,source-gate-luminor-safe-editorial-gallery,main-storyline,Shinkami,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Source Gate Shinkami Meta-Consciousness Atlas,16:9,thumbnail-editorial-16x9,generated-owned,28,approve,iterate,Strong black-gold Source aperture with clean overlay zone; may visually overlap the Luminor proof-atlas lane if used adjacent.,Use as Source Gate proof architecture; keep Luminor language as rank-only in any overlay.
arc-visual-040,2026-07-06T07:27:54+02:00,run-2026-07-06-god-mode,b6,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b6.json#arc-visual-040,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-040-unity-kyuro-cooperation-lattice.png,unity-correction-social-gallery,main-storyline,Ino,CANON_LOCKED.md Ten Gates|Ino|Kyuro|Unity Gate,4:5,social-gallery-4x5,generated-owned,29,approve,iterate,"Best Unity correction so far: action-led cooperation, reduced mirror symmetry, clear Kyuro-as-infrastructure read.|Hand/contact details should not be used as close crop until inspected at social size.","Promote as the preferred Unity/Kyuro source; create deterministic 4:5 and 9:16 social overlays around cooperation, not romance or symmetry."
arc-visual-041,2026-07-06T07:27:54+02:00,run-2026-07-06-god-mode,b6,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b6.json#arc-visual-041,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-041-webtoon-gate-choice-blank-ledger.png,webtoon-story-portal-16x9,webtoon-anime,Lyssandria,CANON_LOCKED.md Ten Gates|Lyssandria|Kaelith|Foundation Gate,16:9,story-portal-youtube-16x9,generated-owned,28,approve,iterate,Strong blank-ledger and exit-latch choice logic; a few hands should stay away from tight crops.|White academy clothing risks stock uniform if reused too often.,Use as webtoon/story portal source; next pass should isolate the three beats into deterministic carousel panels.
arc-visual-042,2026-07-06T07:27:54+02:00,run-2026-07-06-god-mode,b6,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b6.json#arc-visual-042,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-042-music-resonance-proof-cover.png,music-proof-cover-square,music,Alera,CANON_LOCKED.md Ten Gates|Alera|Otome|Voice Gate,1:1,music-cover-square,generated-owned,28,approve-with-crop-check,iterate,Beautiful central resonance-core cover with strong negative space; console detail at lower right should not be magnified.|The flower symmetry is usable for cover art but needs motion/audio variation to avoid static icon overuse.,Promote as music proof-cover source; build deterministic album/YouTube/Reels overlays and optional audio-reactive motion later.
arc-visual-043,2026-07-06T09:45:00+02:00,run-2026-07-06-god-mode,b11,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b11.json#arc-visual-043,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-043-unity-kyuro-bridge-action.png,unity-action-vertical-social-gallery,main-storyline,Ino,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Unity Kyuro Bridge Action,9:16,unity-action-vertical-social-gallery,generated-owned,29,approve,iterate,"Strongest Unity action hook so far, with clear creator roles and Kyuro-as-infrastructure instead of icon symmetry.|Dark lower foreground and cable complexity need phone brightness and crop testing before first-wave public social use.",Promote as the preferred next Unity/Kyuro social source; build deterministic 9:16 and 4:5 overlays around proof needing people.
arc-visual-044,2026-07-06T09:45:00+02:00,run-2026-07-06-god-mode,b11,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b11.json#arc-visual-044,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-044-gate-stays-open-consent-exit.png,story-portal-vertical-social-gallery,webtoon-anime,Academy diver party,CANON_LOCKED.md|VISUAL_DOCTRINE.md|Gate Stays Open Consent Exit,9:16,story-portal-vertical-social-gallery,generated-owned,28,approve,iterate,Emotionally clear Gate-Descent choice frame with blank ledger and consent-exit read.|White uniform language remains close to stock academy styling; use as story portal source and avoid over-repeating the wardrobe.,Use as vertical story-portal source; break the roles into deterministic carousel panels with exact copy outside the image.
arc-visual-045,2026-07-06T09:45:00+02:00,run-2026-07-06-god-mode,b11,gpt-image-2,codex,built-in-image_gen,,iteration-prompts-b11.json#arc-visual-045,C:\Users\frank\starlight\repos\arcanea-ai-app\.arcanea\image-lab\run-2026-07-06-god-mode\outputs\images\arc-visual-045-world-tower-dragon-habitat-bridge.png,mega-scale-world-16x9-gallery,mega-scale-world,Academy creators,CANON_LOCKED.md|VISUAL_DOCTRINE.md|World Tower Dragon Habitat Bridge,16:9,mega-scale-world-16x9-gallery,generated-owned,27,approve-with-crop-check,iterate,"Excellent healthy world-tower scale, vibrant fabric bridge, and peaceful dragon habitat read.|Blank observatory panel can read like a UI screen or billboard; avoid using that crop as a first-read social proof until reworked.",Use as world-scale habitat reference/gallery candidate; regenerate or crop away the blank panel for social-first exports.
